Date,Close
2023-01-02,401.49
2023-01-03,401.72
2023-01-04,403.51
2023-01-05,407.06
2023-01-06,407.09
2023-01-09,407.12
2023-01-10,410.78
2023-01-11,412.82
2023-01-12,412.38
2023-01-13,413.96
2023-01-16,413.53
2023-01-17,413.1
2023-01-18,414.09
2023-01-19,410.76
2023-01-20,407.81
2023-01-23,407.19
2023-01-24,405.66
2023-01-25,406.79
2023-01-26,405.47
2023-01-27,403.15
2023-01-30,406.58
2023-01-31,406.63
2023-02-01,407.26
2023-02-02,404.91
2023-02-03,404.32
2023-02-06,405.05
2023-02-07,403.24
2023-02-08,404.5
2023-02-09,403.79
2023-02-10,403.71
2023-02-13,403.01
2023-02-14,407.21
2023-02-15,407.69
2023-02-16,406.07
2023-02-17,408.22
2023-02-20,406.27
2023-02-21,407.19
2023-02-22,403.77
2023-02-23,401.62
2023-02-24,402.51
2023-02-27,404.49
2023-02-28,405.33
2023-03-01,405.6
2023-03-02,405.5
2023-03-03,403.04
2023-03-06,402.1
2023-03-07,401.68
2023-03-08,404.29
2023-03-09,405.48
2023-03-10,402.45
2023-03-13,403.6
2023-03-14,403.33
2023-03-15,402.48
2023-03-16,404.2
2023-03-17,406.76
2023-03-20,409.12
2023-03-21,407.95
2023-03-22,407.83
2023-03-23,408.99
2023-03-24,411.44
2023-03-27,410.98
2023-03-28,411.11
2023-03-29,409.4
2023-03-30,407.51
2023-03-31,409.63
2023-04-03,412.84
2023-04-04,413.2
2023-04-05,415.71
2023-04-06,416.93
2023-04-07,416.14
2023-04-10,417.36
2023-04-11,420.94
2023-04-12,421.37
2023-04-13,425.0
2023-04-14,420.26
2023-04-17,422.4
2023-04-18,423.08
2023-04-19,422.98
2023-04-20,423.66
2023-04-21,420.19
2023-04-24,420.25
2023-04-25,421.46
2023-04-26,424.92
2023-04-27,424.38
2023-04-28,423.26
2023-05-01,422.76
2023-05-02,425.09
2023-05-03,426.25
2023-05-04,425.69
2023-05-05,427.21
2023-05-08,427.91
2023-05-09,430.35
2023-05-10,429.44
2023-05-11,429.29
2023-05-12,429.0
2023-05-15,426.58
2023-05-16,427.67
2023-05-17,428.69
2023-05-18,429.2
2023-05-19,429.23
